00;D1 – Moderate Drought;PDSI = -2.0 to -2.9;Some damage to crops, pastures;Streams, reservoirs, or wells low, some water shortages developing or imminent;Voluntary water-use restrictions requested
01;D2 – Severe Drought;PDSI = -3.0 to -3.9;Crop or pasture losses likely;Water shortages common;Water restrictions imposed
10;D3 – Extreme Drought;PDSI = -4.0 to -4.9;Major crop/pasture losses;Widespread water shortages or restrictions;
11;D4 – Exceptional Drought;PDSI = -5.0 or less;Exceptional and widespread crop/pasture losses;Shortages of water in reservoirs, streams, and wells creating water emergencies;
