000;LAL 1;No thunderstorms;
001;LAL 2;Isolated thunderstorms;Light rain will occasionally reach the ground. Lightning is very infrequent, 1 to 5 cloud to ground strikes in a 5-minute period.
010;LAL 3;Widely scattered thunderstorms;Light to moderate rain will reach the ground. Lightning is infrequent, 6 to 10 cloud to ground strikes in a 5-minute period.
011;LAL 4;Scattered thunderstorms;Moderate rain is commonly produced Lightning is frequent, 11 to 15 cloud to ground strikes in a 5- minute period.
100;LAL 5;Numerous thunderstorms;Rainfall is moderate to heavy. Lightning is frequent and intense, greater than 15 cloud to ground strikes in a 5-minute period.
101;LAL 6;Dry lightning (same as LAL 3 but without rain);This type of lightning has the potential for extreme fire activity and is normally highlighted in fire weather forecasts with a Red Flag Warning.
