00;B1;Improved resolution of main ellipse;The parameters improve the resolution of the centre of the ellipse and of its axes.
01;B2;Position of the centre of the hazard;When centre of hazard is different from the centre of the ellipse. It is expressed in degrees of latitude and longitude in offset of the centre of the ellipse, with a limitation of +/- 10 degrees.
10;B3;Second ellipse definition;Geometry of this second ellipse is computed from the original ellipse (shift, size and rotation).
11;B4;Quantitative and detailed information related to hazard category and type;Option to provide quantitative or more detailed information related to the hazard category and type.
