000;Very low threat level;A violent act of terrorism is highly unlikely. Measures are in place to keep the population safe.
001;Low threat level;A violent act of terrorism is possible but unlikely. Measures are in place to keep the population safe.
010;Medium threat level;A violent act of terrorism could occur. Additional measures are in place to keep the population safe.
011;High threat level;A violent act of terrorism is likely. Heightened measures are in place to keep the population safe.
100;Critical threat level;A violent act of terrorism is highly likely and could occur imminently. Exceptional measures are in place to keep the population safe.
