011010001;209;Soudan du Sud
011010010;210;Soudan
011010011;211;Sahara occidental*
011010100;212;Suriname
011010101;213;Svalbard et Jan Mayen
011010110;214;Eswatini
011010111;215;Suède
011011000;216;Suisse
011011001;217;République arabe syrienne
011011010;218;Tadjikistan
011011011;219;Thaïlande
011011100;220;Togo
011011101;221;Tokelau
011011110;222;Tonga
011011111;223;Trinité-et-Tobago
011100000;224;Émirats arabes unis
011100001;225;Tunisie
011100010;226;Turquie
011100011;227;Turkménistan
011100100;228;Îles Turques-et-Caïques
011100101;229;Tuvalu
011100110;230;Ouganda
011100111;231;Ukraine
011101000;232;Macédoine du Nord
011101001;233;Égypte
011101010;234;Royaume-Uni de Grande-Bretagne et d'Irlande du Nord
011101011;235;Guernesey
011101100;236;Jersey
011101101;237;Île de Man
011101110;238;Tanzanie, République-Unie de
011101111;239;États-Unis d'Amérique
011110000;240;Îles Vierges des États-Unis
011110001;241;Burkina Faso
011110010;242;Uruguay
011110011;243;Ouzbékistan
011110100;244;Venezuela, République bolivarienne du
011110101;245;Wallis-et-Futuna
011110110;246;Samoa
011110111;247;Yémen
011111000;248;Zambie
111110100;500;Organisations de l'UE
111110101;501;Organisations de l'ONU
111110110;502;Organisations internationales
